Date,Description,Debit,Credit
2024-09-15,WHOLE FOODS MARKET #12345,125.50,0
2024-09-16,SHELL GAS STATION,45.00,0
2024-09-17,NETFLIX SUBSCRIPTION,15.99,0
2024-09-18,AMAZON.COM ORDER,89.99,0
2024-09-20,STARBUCKS COFFEE,12.50,0
2024-09-22,UBER TRIP TO DOWNTOWN,25.00,0
2024-09-25,VERIZON WIRELESS BILL,75.00,0
2024-09-28,TARGET STORE PURCHASE,156.78,0
2024-10-01,CREDIT CARD PAYMENT,0,500.00
2024-10-05,WALMART SUPERCENTER,98.45,0
2024-10-08,CHIPOTLE MEXICAN GRILL,18.50,0
2024-10-10,DOORDASH DELIVERY,35.50,0
2024-10-12,CVS PHARMACY,42.30,0
2024-10-15,APPLE.COM/BILL,9.99,0
2024-10-18,COSTCO WHOLESALE,234.56,0
2024-10-20,SPRINT WIRELESS,65.00,0
2024-10-22,MCDONALD'S RESTAURANT,14.25,0
2024-10-25,BEST BUY ELECTRONICS,349.99,0
2024-10-28,GEICO INSURANCE,125.00,0
2024-11-01,CREDIT CARD PAYMENT,0,750.00
2024-11-03,TRADER JOE'S,87.65,0
2024-11-05,UBER EATS ORDER,28.90,0
2024-11-08,HOME DEPOT PURCHASE,175.50,0
2024-11-10,PLANET FITNESS MEMBERSHIP,22.99,0
2024-11-12,AMAZON PRIME SUBSCRIPTION,14.99,0
2024-11-15,SAFEWAY GROCERY,112.30,0
2024-11-18,SPOTIFY PREMIUM,10.99,0
2024-11-20,LYFT RIDE,19.50,0
2024-11-22,DUNKIN DONUTS,8.75,0
2024-11-25,NORDSTROM DEPARTMENT,245.00,0
2024-11-28,AT&T INTERNET,55.00,0
2024-12-01,CREDIT CARD PAYMENT,0,850.00
2024-12-03,WHOLE FOODS MARKET,95.40,0
2024-12-05,CHEVRON GAS STATION,52.00,0
2024-12-08,NETFLIX 4K PLAN,19.99,0
2024-12-10,AMAZON HOLIDAY SHOPPING,456.78,0
2024-12-12,STARBUCKS GIFT CARD,50.00,0
2024-12-15,BOSTON UNIVERSITY TUITION,2500.00,0
2024-12-18,WALGREENS PHARMACY,35.60,0
2024-12-20,HILTON HOTEL BOOKING,450.00,0
2024-12-22,DELTA AIRLINES TICKET,389.00,0
